NET,PDUT,TDUT,CON1_Name,CON1_X,CON1_Y,CON1_Type,CON2_Name,CON2_X,CON2_Y,CON2_Type,CON3_Name,CON3_X,CON3_Y,CON3_Type,Layer,TPD_M2N,TPD_M2N_NRM,TPD_M2N_STD,TSM_M2N,TSM_FFI,TSM_DIFF,TSM_DIFF_NRM,TSM_DIFF_STD,TSM_M2N_NRM,TSM_M2N_STD,EMPTY,LESS
1_SA9_S4_b_25,7,882,LGA18_2.D26,-209.2984 ,-87.2354 ,THROUGH,,,,,L7.DQ0_WT,-135.9100 ,-6.0000 ,THROUGH,TOP,2.383 ,0.33 ,-0.68 ,8.12 ,8.10 ,0.02 ,0.03 ,-0.82 ,0.60 ,-1.01 ,,
1_SA9_S4_b_17,8,878,LGA18_2.D10,-227.3140 ,-94.6977 ,THROUGH,,,,,L8.DQ0_WT,-142.7100 ,-6.0000 ,THROUGH,TOP,2.438 ,0.53 ,0.58 ,8.20 ,8.14 ,0.06 ,0.09 ,-0.26 ,0.63 ,-0.25 ,,
1_SA9_S4_b_1,10,870,LGA18_1.D10,-224.8265 ,-100.7030 ,THROUGH,,,,,L10.DQ0_WT,-142.7100 ,-16.0000 ,THROUGH,TOP,2.438 ,0.53 ,0.58 ,8.20 ,8.12 ,0.08 ,0.13 ,0.02 ,0.63 ,-0.25 ,,
2_SA1_S3_a_1,14,1065,LGA26_1.A09,-170.0812 ,179.8922 ,THROUGH,,,,,L14.DQ0_WT,-135.9100 ,56.0000 ,THROUGH,TOP,2.369 ,0.28 ,-1.00 ,8.18 ,8.20 ,0.02 ,0.03 ,-0.82 ,0.62 ,-0.44 ,,
1_SA10_S4_b_25,15,994,LGA19_2.D26,-220.3682 ,-53.4200 ,THROUGH,,,,,L15.DQ0_WT,-135.9100 ,51.0000 ,THROUGH,TOP,2.416 ,0.45 ,0.08 ,8.08 ,8.12 ,0.04 ,0.06 ,-0.54 ,0.59 ,-1.39 ,,
1_SA10_S4_b_17,16,990,LGA19_2.D10,-239.3294 ,-57.9722 ,THROUGH,,,,,L16.DQ0_WT,-135.9100 ,46.0000 ,THROUGH,TOP,2.386 ,0.34 ,-0.61 ,8.06 ,8.10 ,0.04 ,0.06 ,-0.54 ,0.58 ,-1.58 ,,
1_SA9_S4_b_57,27,896,LGA18_4.D26,-214.2732 ,-75.2250 ,THROUGH,,,,,L27.DQ0_WT,-128.9100 ,-11.0000 ,THROUGH,TOP,2.468 ,0.63 ,1.27 ,8.20 ,8.12 ,0.08 ,0.13 ,0.02 ,0.63 ,-0.25 ,,
1_SA8_S3_b_19,34,740,LGA17_2.B14,-204.5927 ,-129.7727 ,THROUGH,,,,,L34.DQ0_WT,-135.9100 ,-47.0000 ,THROUGH,TOP,2.465 ,0.62 ,1.20 ,8.20 ,8.20 ,0.00 ,0.00 ,-1.10 ,0.63 ,-0.25 ,,
1_SA8_S3_b_3,35,732,LGA17_1.B14,-201.1965 ,-135.3149 ,THROUGH,,,,,L35.DQ0_WT,-135.9100 ,-52.0000 ,THROUGH,TOP,2.442 ,0.54 ,0.68 ,0.00 ,0.00 ,,,,,,,
2_SA1_S3_a_25,38,1077,LGA26_2.A25,-152.4743 ,169.2858 ,THROUGH,,,,,L38.DQ0_WT,-128.9100 ,61.0000 ,THROUGH,TOP,2.546 ,0.91 ,3.06 ,8.26 ,8.16 ,0.10 ,0.16 ,0.30 ,0.64 ,0.32 ,,
1_SA9_S3_a_25,50,853,LGA18_2.A25,-208.1175 ,-92.6994 ,THROUGH,,,,,L50.DQ0_WT,-122.1100 ,-1.0000 ,THROUGH,TOP,2.402 ,0.40 ,-0.24 ,8.12 ,8.08 ,0.04 ,0.06 ,-0.54 ,0.60 ,-1.01 ,,
1_SA9_S3_a_19,52,851,LGA18_2.A13,-222.4376 ,-98.6310 ,THROUGH,,,,,L52.DQ0_WT,-122.1100 ,-11.0000 ,THROUGH,TOP,2.347 ,0.20 ,-1.50 ,8.16 ,8.18 ,0.02 ,0.03 ,-0.82 ,0.61 ,-0.63 ,,
1_SA8_S3_b_11,61,736,LGA17_1.B30,-184.5700 ,-125.1262 ,THROUGH,,,,,L61.DQ0_WT,-128.9100 ,-57.0000 ,THROUGH,TOP,2.490 ,0.71 ,1.78 ,8.18 ,8.16 ,0.02 ,0.03 ,-0.82 ,0.62 ,-0.44 ,,
2_SA1_S3_a_11,64,1071,LGA26_1.A29,-154.8192 ,162.0227 ,THROUGH,,,,,L64.DQ0_WT,-122.1100 ,82.0000 ,THROUGH,TOP,2.477 ,0.66 ,1.48 ,8.24 ,8.20 ,0.04 ,0.06 ,-0.54 ,0.64 ,0.13 ,,
2_SA1_S3_a_17,65,1073,LGA26_2.A09,-165.1385 ,184.1137 ,THROUGH,,,,,L65.DQ0_WT,-122.1100 ,77.0000 ,THROUGH,TOP,2.458 ,0.60 ,1.04 ,8.18 ,8.16 ,0.02 ,0.03 ,-0.82 ,0.62 ,-0.44 ,,
1_SA10_S4_b_9,68,986,LGA19_1.D26,-218.8508 ,-59.7404 ,THROUGH,,,,,L68.DQ0_WT,-122.1100 ,61.0000 ,THROUGH,TOP,2.470 ,0.64 ,1.32 ,8.22 ,8.16 ,0.06 ,0.09 ,-0.26 ,0.63 ,-0.06 ,,
1_SA10_S3_b_35,78,970,LGA19_3.B14,-236.1986 ,-53.8781 ,THROUGH,,,,,L78.DQ0_WT,-115.1100 ,10.0000 ,THROUGH,TOP,2.445 ,0.55 ,0.75 ,8.18 ,8.14 ,0.04 ,0.06 ,-0.54 ,0.62 ,-0.44 ,,
1_SA10_S3_b_41,79,972,LGA19_3.B26,-221.1269 ,-50.2597 ,THROUGH,,,,,L79.DQ0_WT,-115.1100 ,5.0000 ,THROUGH,TOP,2.435 ,0.52 ,0.52 ,8.24 ,8.18 ,0.06 ,0.09 ,-0.26 ,0.64 ,0.13 ,,
1_SA7_S4_b_3,91,648,LGA16_1.D14,-179.6622 ,-162.6517 ,THROUGH,,,,,L91.DQ0_WT,-122.1100 ,-57.0000 ,THROUGH,TOP,2.432 ,0.51 ,0.45 ,8.16 ,8.20 ,0.04 ,0.06 ,-0.54 ,0.61 ,-0.63 ,,
1_SA7_S3_a_19,95,627,LGA16_2.A13,-181.0721 ,-162.5407 ,THROUGH,,,,,L95.DQ0_WT,-122.1100 ,-78.0000 ,THROUGH,TOP,2.402 ,0.40 ,-0.24 ,8.14 ,8.16 ,0.02 ,0.03 ,-0.82 ,0.61 ,-0.82 ,,
1_SA7_S3_a_3,96,619,LGA16_1.A13,-176.8506 ,-167.4834 ,THROUGH,,,,,L96.DQ0_WT,-122.1100 ,-83.0000 ,THROUGH,TOP,2.360 ,0.25 ,-1.20 ,8.16 ,8.10 ,0.06 ,0.09 ,-0.26 ,0.61 ,-0.63 ,,
2_SA1_S3_a_57,97,1091,LGA26_4.A25,-142.5890 ,177.7286 ,THROUGH,,,,,L97.DQ0_WT,-115.1100 ,92.0000 ,THROUGH,TOP,2.438 ,0.53 ,0.58 ,8.20 ,8.14 ,0.06 ,0.09 ,-0.26 ,0.63 ,-0.25 ,,
1_SA10_S4_b_57,102,1008,LGA19_4.D26,-223.4030 ,-40.7792 ,THROUGH,,,,,L102.DQ0_WT,-108.3100 ,66.0000 ,THROUGH,TOP,2.441 ,0.54 ,0.65 ,8.18 ,8.14 ,0.04 ,0.06 ,-0.54 ,0.62 ,-0.44 ,,
2_SA1_S3_b_41,106,1084,LGA26_3.B26,-145.1712 ,174.2081 ,THROUGH,,,,,L106.DQ0_WT,-115.1100 ,46.0000 ,THROUGH,TOP,2.412 ,0.43 ,-0.01 ,8.26 ,8.18 ,0.08 ,0.13 ,0.02 ,0.64 ,0.32 ,,
1_SA10_S3_a_9,113,957,LGA19_1.A25,-218.5392 ,-65.3219 ,THROUGH,,,,,L113.DQ0_WT,-108.3100 ,10.0000 ,THROUGH,TOP,2.412 ,0.43 ,-0.01 ,8.16 ,8.14 ,0.02 ,0.03 ,-0.82 ,0.61 ,-0.63 ,,
1_SA10_S3_a_11,114,959,LGA19_1.A29,-214.6497 ,-64.3881 ,THROUGH,,,,,L114.DQ0_WT,-108.3100 ,5.0000 ,THROUGH,TOP,2.415 ,0.45 ,0.06 ,8.18 ,8.22 ,0.04 ,0.06 ,-0.54 ,0.62 ,-0.44 ,,
1_SA7_S4_b_51,123,670,LGA16_4.D14,-192.3265 ,-147.8237 ,THROUGH,,,,,L123.DQ0_WT,-108.3100 ,-42.0000 ,THROUGH,TOP,2.409 ,0.42 ,-0.08 ,8.28 ,8.10 ,0.18 ,0.28 ,1.42 ,0.65 ,0.51 ,,
1_SA7_S3_a_9,132,621,LGA16_1.A25,-165.0643 ,-157.4170 ,THROUGH,,,,,L132.DQ0_WT,-108.3100 ,-88.0000 ,THROUGH,TOP,2.370 ,0.29 ,-0.97 ,8.16 ,8.20 ,0.04 ,0.06 ,-0.54 ,0.61 ,-0.63 ,,
2_SA2_S4_a_11,134,1211,LGA27_1.C29,-124.7961 ,185.9451 ,THROUGH,,,,,L134.DQ0_WT,-101.3100 ,92.0000 ,THROUGH,TOP,2.341 ,0.18 ,-1.64 ,8.28 ,8.20 ,0.08 ,0.13 ,0.02 ,0.65 ,0.51 ,,
2_SA1_S4_b_19,136,1104,LGA26_2.D14,-157.7090 ,183.8837 ,THROUGH,,,,,L136.DQ0_WT,-108.3100 ,92.0000 ,THROUGH,TOP,2.441 ,0.54 ,0.65 ,8.24 ,8.22 ,0.02 ,0.03 ,-0.82 ,0.64 ,0.13 ,,
1_SA7_S3_a_35,173,633,LGA16_3.A13,-185.2935 ,-157.5980 ,THROUGH,,,,,L173.DQ0_WT,-94.5100 ,-103.0000 ,THROUGH,TOP,2.432 ,0.51 ,0.45 ,8.22 ,8.14 ,0.08 ,0.13 ,0.02 ,0.63 ,-0.06 ,,
2_SA2_S4_a_57,174,1231,LGA27_4.C25,-110.2596 ,199.5444 ,THROUGH,,,,,L174.DQ0_WT,-94.5100 ,113.0000 ,THROUGH,TOP,2.441 ,0.54 ,0.65 ,8.14 ,8.16 ,0.02 ,0.03 ,-0.82 ,0.61 ,-0.82 ,,
1_SA9_S2_b_1,304,814,LGA14_1.D10,-122.6968 ,-213.6202 ,THROUGH,,,,,L304.DQ0_WT,-73.7100 ,-88.0000 ,THROUGH,TOP,2.402 ,0.40 ,-0.24 ,8.18 ,8.16 ,0.02 ,0.03 ,-0.82 ,0.62 ,-0.44 ,,
2_SA3_S3_b_19,311,1300,LGA28_2.B14,-96.1696 ,222.3748 ,THROUGH,,,,,L311.DQ0_WT,-73.7100 ,128.0000 ,THROUGH,TOP,2.400 ,0.39 ,-0.29 ,8.20 ,8.16 ,0.04 ,0.06 ,-0.54 ,0.63 ,-0.25 ,,
2_SA3_S4_b_25,315,1330,LGA28_2.D26,-87.2354 ,209.2984 ,THROUGH,,,,,L315.DQ0_WT,-73.7100 ,107.0000 ,THROUGH,TOP,2.392 ,0.36 ,-0.47 ,8.10 ,8.20 ,0.10 ,0.16 ,0.30 ,0.60 ,-1.20 ,,
2_SA2_S4_b_19,320,1216,LGA27_2.D14,-127.0016 ,206.2908 ,THROUGH,,,,,L320.DQ0_WT,-73.7100 ,82.0000 ,THROUGH,TOP,2.386 ,0.34 ,-0.61 ,8.22 ,8.16 ,0.06 ,0.09 ,-0.26 ,0.63 ,-0.06 ,,
1_SA9_S3_b_49,332,864,LGA18_4.B10,-231.0451 ,-85.6899 ,THROUGH,,,,,L332.DQ0_WT,-73.7100 ,20.0000 ,THROUGH,TOP,2.513 ,0.79 ,2.30 ,8.28 ,8.20 ,0.08 ,0.13 ,0.02 ,0.65 ,0.51 ,,
1_SA9_S3_b_43,333,862,LGA18_3.B30,-206.8465 ,-82.7021 ,THROUGH,,,,,L333.DQ0_WT,-73.7100 ,15.0000 ,THROUGH,TOP,2.532 ,0.86 ,2.74 ,8.34 ,8.28 ,0.06 ,0.09 ,-0.26 ,0.67 ,1.08 ,,
1_SA10_S1_a_11,349,903,LGA15_1.A29,-135.8089 ,-178.2589 ,THROUGH,,,,,L349.DQ0_WT,-73.7100 ,-67.0000 ,THROUGH,TOP,2.510 ,0.78 ,2.23 ,8.26 ,8.28 ,0.02 ,0.03 ,-0.82 ,0.64 ,0.32 ,,
1_SA8_S2_b_25,350,714,LGA13_2.D26,-86.3115 ,-209.6810 ,THROUGH,,,,,L350.DQ0_WT,-73.7100 ,-73.0000 ,THROUGH,TOP,2.549 ,0.92 ,3.13 ,8.20 ,8.20 ,0.00 ,0.00 ,-1.10 ,0.63 ,-0.25 ,,
1_SA9_S2_b_49,353,836,LGA14_4.D10,-139.3233 ,-203.4314 ,THROUGH,,,,,L353.DQ0_WT,-66.9100 ,-88.0000 ,THROUGH,TOP,2.392 ,0.36 ,-0.47 ,8.18 ,8.18 ,0.00 ,0.00 ,-1.10 ,0.62 ,-0.44 ,,
1_SA8_S2_a_11,358,707,LGA13_1.C29,-77.0795 ,-210.2579 ,THROUGH,,,,,L358.DQ0_WT,-73.7100 ,-114.0000 ,THROUGH,TOP,2.376 ,0.31 ,-0.84 ,8.26 ,8.14 ,0.12 ,0.19 ,0.58 ,0.64 ,0.32 ,,
